#,ごい,Vocabulary,Type,Meaning
111,引き出す,hikidasu,"Verb, Godan verb, Transitive verb",to withdraw
,,ひきだす,,
112,引っ越す,hikkosu,"Verb, Godan verb, Intransitive verb",to move house
,,ひっこす,,
113,飛行場,hikoujou,Noun,airfield; airport
,,ひこうじょう,,
114,開く,hiraku,"Verb, Godan verb, Intransitive verb, Transitive verb",to open; to undo; to unseal; to unpack
,,ひらく,,
115,拾う,hirou,"Verb, Godan verb, Transitive verb",to pick up
,,ひろう,,
116,昼間,hiruma,Noun,daytime; during the day
,,ひるま,,
117,昼休み,hiruyasumi,Noun,lunch break; noon recess; noon rest period
,,ひるやすみ,,
118,久しぶり,hisashiburi,"Noun, Adjective, な-adjective",after a long time
,,ひさしぶり,,
119,褒める,homeru,"Verb, Ichidan verb, Transitive verb",to praise
,,ほめる,,
120,翻訳,honyaku,"Noun, Suru verb",translation
,,ほんやく,,
121,星,hoshi,Noun,star
,,ほし,,
122,ほとんど,hotondo,Adverbial Noun,mostly
123,法律,houritsu,Noun,law
,,ほうりつ,,
124,放送,housou,"Noun, Suru verb",to broadcast
,,ほうそう,,
125,一度,ichido,Noun,once; one time; on one occasion
,,いちど,,
126,以外,igai,Noun,with the exception of; excepting
,,いがい,,
127,医学,igaku,Noun,medical science; medicine
,,いがく,,
128,いじめる,ijimeru,"Verb, Ichidan verb, Transitive verb",to tease
129,以上,ijou,"Noun, Adverbial Noun",... and more; ... and upwards​
,,いじょう,,
130,以下,ika,Noun,not exceeding
,,いか,,
131,意見,iken,"Noun, Verb, Suru verb",opinion; view; comment
,,いけん,,
132,生き物,ikimono,Noun,living thing
,,いきもの,,
133,生きる,ikiru,"Verb, Ichidan verb, Intransitive verb",to live
,,いきる,,
134,以内,inai,"Noun, Suffix",within
,,いない,,
135,田舎,inaka,Noun,countryside
,,いなか,,
136,祈る,inoru,"Verb, Godan verb, Transitive verb",to pray
,,いのる,,
137,いっぱい,ippai,"Noun, Adjective, な-adjective, Adverb",full
138,色んな,ironna,Pre-noun adjectival,various
,,いろんな,,
139,石,ishi,Noun,stone
,,いし,,
140,急ぐ,isogu,"Verb, Godan verb, Intransitive verb",to hurry; to rush; to hasten; to make something happen sooner
,,いそぐ,,
141,一生懸命,isshoukenmei,"Noun, Adverbial Noun, Adjective, な-adjective",very hard; with utmost effort
,,いっしょうけんめい,,
142,頂く,itadaku,"Verb, Godan verb, Transitive verb",(humble) to receive
,,いただく,,
143,致す,itasu,"Verb, Godan verb, Transitive verb",(humble) to do
,,いたす,,
144,糸,ito,Noun,thread
,,いと,,
145,ジャム,jamu,"Noun, Katakana",jam
146,字,ji,Noun,character
,,じ,,
147,時代,jidai,Noun,period
,,じだい,,
148,事故,jiko,Noun,accident
,,じこ,,
149,事務所,jimusho,Noun,office
,,じむしょ,,
150,神社,jinja,Noun,Shinto shrine
,,じんじゃ,,
151,人口,jinkou,Noun,population
,,じんこう,,
152,人生,jinsei,Noun,human life
,,じんせい,,
153,地震,jishin,Noun,earthquake
,,じしん,,
154,辞典,jiten,Noun,dictionary
,,じてん,,
155,自由,jiyuu,"Noun, Adjective, な-adjective, Expression",freedom
,,じゆう,,
156,女性,josei,Noun,woman; female
,,じょせい,,
157,準備,junbi,"Noun, Suru verb",to prepare
,,じゅんび,,
158,十分,juubun,"Noun, Adjective, な-adjective, Adverb",enough; sufficient; plenty; adequate; satisfactory
,,じゅうぶん,,
159,柔道,juudou,Noun,judo
,,じゅうどう,,
160,住所,juusho,Noun,address
,,じゅうしょ,,
161,カーテン,kaaten,"Noun, Katakana",curtain
162,壁,kabe,Noun,wall
,,かべ,,
163,課長,kachou,Noun,section manager; section chief
,,かちょう,,
164,帰り,kaeri,Noun,return; coming back
,,かえり,,
165,変える,kaeru,"Verb, Ichidan verb, Transitive verb",to change; to transform
,,かえる,,
166,科学,kagaku,Noun,science
,,かがく,,
167,鏡,kagami,Noun,mirror
,,かがみ,,
168,海岸,kaigan,Noun,coast
,,かいがん,,
169,会議,kaigi,"Noun, Verb, Suru verb",meeting; conference; session; assembly
,,かいぎ,,
170,会議室,kaigishitsu,Noun,conference room; conference hall; council room
,,かいぎしつ,,
171,会場,kaijou,Noun,assembly hall; meeting place; venue; grounds
,,かいじょう,,
172,会話,kaiwa,"Noun, Verb, Suru verb",conversation
,,かいわ,,
173,火事,kaji,Noun,fire
,,かじ,,
174,格好,kakkou,Noun,appearance
,,かっこう,,
175,構う,kamau,"Verb, Godan verb",to mind
,,かまう,,
176,髪,kami,Noun,hair
,,かみ,,
177,噛む,kamu,"Verb, Godan verb, Transitive verb","to bite,to chew"
,,かむ,,
178,家内,kanai,Noun,(my) wife; inside the home; one's family
,,かない,,
179,必ず,kanarazu,Adverb,always; certainly
,,かならず,,
180,悲しい,kanashii,"Adjective, い-adjective",sad
,,かなしい,,
181,考える,kangaeru,"Verb, Ichidan verb, Transitive verb",to think
,,かんがえる,,
182,看護婦,kangofu,Noun,female nurse
,,かんごふ,,
183,関係,kankei,"Noun, Suru verb",relationship
,,かんけい,,
184,彼女,kanojo,Pronoun,she; her​
,,かのじょ,,
185,簡単,kantan,"Noun, Adjective, な-adjective",simple; easy
,,かんたん,,
186,彼,kare,Pronoun,he; him​; his
,,かれ,,
187,彼ら,karera,Pronoun,they; them
,,かれら,,
188,形,katachi,Noun,shape
,,かたち,,
189,片付ける,katadzukeru,"Verb, Ichidan verb, Transitive verb",to tidy up
,,かたづける,,
190,硬い,katai,"Adjective, い-adjective",hard
,,かたい,,
191,勝つ,katsu,"Verb, Godan verb, Intransitive verb",to win
,,かつ,,
192,乾く,kawaku,"Verb, Godan verb, Intransitive verb",to get dry
,,かわく,,
193,代わり,kawari,Noun,instead; in place
,,かわり,,
194,変わる,kawaru,"Verb, Godan verb, Intransitive verb",to change
,,かわる,,
195,通う,kayou,"Verb, Godan verb, Intransitive verb",to commute
,,かよう,,
196,飾る,kazaru,"Verb, Godan verb, Transitive verb",to decorate
,,かざる,,
197,毛,ke,Noun,hair or fur
,,け,,
198,ケーキ,keeki,"Noun, Katakana",cake
199,怪我,kega,"Noun, Suru verb",to injure
,,けが,,
200,計画,keikaku,"Noun, Suru verb",to plan
,,けいかく,,
201,経験,keiken,"Noun, Suru verb",to experience
,,けいけん,,
202,警察,keisatsu,Noun,police
,,けいさつ,,
203,経済,keizai,Noun,"finance, economy"
,,けいざい,,
204,見物,kenbutsu,"Noun, Suru verb",sightseeing; visit
,,けんぶつ,,
205,喧嘩,kenka,"Noun, Suru verb",to quarrel
,,けんか,,
206,研究,kenkyuu,"Noun, Suru verb",research
,,けんきゅう,,
207,研究室,kenkyuushitsu,Noun,laboratory
,,けんきゅうしつ,,
208,消しゴム,keshigomu,Noun,eraser
209,景色,keshiki,Noun,scenery
,,けしき,,
210,気,ki,Noun,spirit
,,き,,
211,厳しい,kibishii,"Adjective, い-adjective",strict
,,きびしい,,
212,気分,kibun,Noun,feeling; mood
,,きぶん,,
213,機会,kikai,Noun,chance; opportunity
,,きかい,,
214,危険,kiken,"Noun, Adjective, な-adjective",danger
,,きけん,,
215,聞こえる,kikoeru,"Verb, Ichidan verb, Intransitive verb",to be heard; to be audible; to be said
,,きこえる,,
216,決まる,kimaru,"Verb, Godan verb, Intransitive verb",to be decided
,,きまる,,
217,決める,kimeru,"Verb, Ichidan verb, Transitive verb",to decide
,,きめる,,
218,君,kimi,Pronoun,You
,,きみ,,
219,気持ち,kimochi,Noun,feeling
,,きもち,,
220,着物,kimono,Noun,kimono; Japanese traditional clothing
,,きもの,,
221,近所,kinjo,Noun,neighbourhood
,,きんじょ,,
222,絹,kinu,Noun,silk
,,きぬ,,
223,季節,kisetsu,Noun,season
,,きせつ,,
224,汽車,kisha,Noun,train
,,きしゃ,,
225,規則,kisoku,Noun,rule
,,きそく,,
226,子,ko,Noun,child
,,こ,,
227,心,kokoro,Noun,heart
,,こころ,,
228,国際,kokusai,Noun,international
,,こくさい,,
229,細かい,komakai,"Adjective, い-adjective","small, fine"
,,こまかい,,
230,米,kome,Noun,(husked grains of) rice
,,こめ,,
231,込む,komu,"Verb, Godan verb, Intransitive verb",to be crowded
,,こむ,,
232,今度,kondo,Noun,this time; next time
,,こんど,,
233,この間,kono aida,Adverbial Noun,the other day; recently
,,このあいだ,,
234,このごろ,kono goro,Adverbial Noun,these days; nowadays
235,コンピュータ,konpyuuta,"Noun, Katakana",computer
236,コンサート,konsaato,"Noun, Katakana",concert
237,今夜,konya,Noun,this evening; tonigh
,,こんや,,
238,これから,korekara,Conjunction,after this
239,故障,koshou,"Noun, Suru verb",to break-down
,,こしょう,,
240,答え,kotae,Noun,response
,,こたえ,,
241,小鳥,kotori,Noun,small bird
,,ことり,,
242,こう,kou,Adverb,this way
243,校長,kouchou,Noun,principal; headmaster
,,こうちょう,,
244,講堂,koudou,Noun,auditorium
,,こうどう,,
245,郊外,kougai,Noun,suburb; residential area on the outskirt of a city
,,こうがい,,
246,講義,kougi,"Noun, Suru verb",lecture
,,こうぎ,,
247,工業,kougyou,Noun,industry
,,こうぎょう,,
248,工場,koujou,Noun,factory
,,こうじょう,,
249,高校,koukou,Noun,senior high school; high school​
,,こうこう,,
250,高校生,koukousei,Noun,high school student
,,こうこうせい,,
251,公務員,koumuin,Noun,government worker
,,こうむいん,,
252,高等学校,koutougakkou,Noun,high school
,,こうとうがっこう,,
253,交通,koutsuu,Noun,traffic
,,こうつう,,
254,怖い,kowai,"Adjective, い-adjective",frightening
,,こわい,,
255,壊れる,kowareru,"Verb, Ichidan verb, Intransitive verb",to be broken
,,こわれる,,
256,壊す,kowasu,"Verb, Godan verb, Transitive verb",to break
,,こわす,,
257,首,kubi,Noun,neck
,,くび,,
258,下さる,kudasaru,"Verb, Godan verb",(respectful) to give
,,くださる,,
,,,,
259,雲,kumo,Noun,cloud
,,くも,,
260,君,kun,Suffix,suffix for familiar young male
,,くん,,
261,比べる,kuraberu,"Verb, Ichidan verb, Transitive verb",to compare
,,くらべる,,
262,暮れる,kureru,"Verb, Ichidan verb, Intransitive verb",to get dark
,,くれる,,
263,草,kusa,Noun,grass
,,くさ,,
264,空気,kuuki,Noun,air
,,くうき,,
265,空港,kuukou,Noun,airport
,,くうこう,,
266,客,kyaku,Noun,guest; customer
,,きゃく,,
267,教育,kyouiku,"Noun, Suru verb",education
,,きょういく,,
268,教会,kyoukai,Noun,church; congregation; Christian church
,,きょうかい,,
269,興味,kyoumi,Noun,interest (in something); curiosity (about something); zest (for)
,,きょうみ,,
270,競争,kyousou,"Noun, Suru verb",competition
,,きょうそう,,
271,急,kyuu,"Adjective, な-adjective",sudden; abrupt; unexpected
,,きゅう,,
272,急行,kyuukou,"Noun, Verb, Suru verb",hurrying (to somewhere); rushing; hastening
,,きゅうこう,,
273,間違える,machigaeru,"Verb, Ichidan verb, Transitive verb",to make a mistake (in)
,,まちがえる,,
274,参る,mairu,"Verb, Godan verb, Intransitive verb",(humble) to go; to come
,,まいる,,
275,負ける,makeru,"Verb, Ichidan verb, Intransitive verb",to lose
,,まける,,
276,漫画,manga,Noun,comic
,,まんが,,
277,間に合う,maniau,"Verb, Godan verb, Intransitive verb",to be in time (for)
,,まにあう,,
278,真ん中,mannaka,Noun,middle; centre; center
,,まんなか,,
279,周り,mawari,Noun,around
,,まわり,,
280,回る,mawaru,"Verb, Godan verb, Intransitive verb",to go around
,,まわる,,
281,まず,mazu,Adverb,first of all
282,召し上がる,meshiagaru,"Verb, Godan verb, Transitive verb",to eat; to drink​
,,めしあがる,,
283,珍しい,mezurashii,"Adjective, い-adjective",unusual; rare
,,めずらしい,,
284,見える,mieru,"Verb, Ichidan verb, Intransitive verb",to be seen; to be in sight; to look; to seem
,,みえる,,
285,港,minato,Noun,harbour
,,みなと,,
286,味噌,miso,Noun,fermented condiment made from soybeans
,,みそ,,
287,見つかる,mitsukaru,"Verb, Godan verb, Intransitive verb",to be found; to be discovered
,,みつかる,,
288,見つける,mitsukeru,"Verb, Ichidan verb, Transitive verb",to discover; to find; to come across; to detect; to spot
,,みつける,,
289,都,miyako,Noun,capital
,,みやこ,,
290,湖,mizuumi,Noun,lake
,,みずうみ,,
291,戻る,modoru,"Verb, Godan verb, Intransitive verb",to turn back
,,もどる,,
292,木綿,momen,Noun,cotton (material)
,,もめん,,
293,森,mori,Noun,forest
,,もり,,
294,もし,moshi,Adverb,if; in case; supposing
295,申し上げる,moushiageru,"Verb, Ichidan verb, Transitive verb",to say; to offer
,,もうしあげる,,
296,申す,mousu,"Verb, Godan verb, Transitive verb",to be called; to say
,,もうす,,
297,もうすぐ,mousugu,"Adverb, Expression",soon
298,迎える,mukaeru,"Verb, Ichidan verb, Transitive verb",to go out to meet
,,むかえる,,
299,昔,mukashi,"Noun, Adverbial noun","olden days, former"
,,むかし,,
300,向かう,mukau,"Verb, Godan verb, Intransitive verb",to head towards
,,むかう,,
301,無理,muri,"Noun, Adjective, な-adjective, Suru verb",impossible
,,むり,,
302,虫,mushi,Noun,insect
,,むし,,
303,息子,musuko,Noun,son
,,むすこ,,
,,,,
304,娘,musume,Noun,daughter
,,むすめ,,
305,投げる,nageru,"Verb, Ichidan verb, Transitive verb",to throw or cast away
,,なげる,,
306,泣く,naku,"Verb, Godan verb",to weep
,,なく,,
307,無くなる,naku naru,"Verb, Godan verb, Intransitive verb",to disappear; to get lost
,,なくなる,,
308,亡くなる,nakunaru,"Verb, Godan verb, Intransitive verb",to die
,,なくなる,,
309,生,nama,"Noun, Prefix",raw
,,なま,,
310,直る,naoru,"Verb, Godan verb, Intransitive verb","to be fixed,to be repaired"
,,なおる,,
311,治る,naoru,"Verb, Godan verb, Intransitive verb",to be cured; to heal
,,なおる,,
312,慣れる,nareru,"Verb, Ichidan verb, Intransitive verb",to get used to
,,なれる,,
313,鳴る,naru,"Verb, Godan verb, Intransitive verb",to sound
,,なる,,
314,なるほど,naruhodo,"Adverb, Expression",now I understand
315,寝坊,nebou,"Noun, Verb, Suru verb",sleeping in late; oversleeping
,,ねぼう,,
316,値段,nedan,Noun,price; cost
,,ねだん,,
317,眠い,nemui,"Adjective, い-adjective",sleepy
,,ねむい,,
318,眠る,nemuru,"Verb, Godan verb, Intransitive verb",to sleep
,,ねむる,,
319,熱,netsu,Noun,fever
,,ねつ,,
320,苦い,nigai,"Adjective, い-adjective",bitter
,,にがい,,
321,逃げる,nigeru,"Verb, Ichidan verb, Intransitive verb",to escape
,,にげる,,
322,二階建て,nikaidate,Noun,two-storied building
,,にかいだて,,
323,人形,ningyou,Noun,doll
,,にんぎょう,,
324,匂い,nioi,Noun,a smell
,,におい,,
325,似る,niru,"Verb, Ichidan verb, Intransitive verb",to be similar
,,にる,,
,,,,
326,喉,nodo,Noun,throat
,,のど,,
327,残る,nokoru,"Verb, Godan verb, Intransitive verb",to remain
,,のこる,,
328,乗り換える,norikaeru,"Verb, Ichidan verb, Transitive verb",to change between buses or trains
,,のりかえる,,
329,乗り物,norimono,Noun,vehicle
,,のりもの,,
330,濡れる,nureru,"Verb, Ichidan verb, Intransitive verb",to get wet
,,ぬれる,,
331,塗る,nuru,"Verb, Godan verb, Transitive verb",to paint; to plaster
,,ぬる,,
332,盗む,nusumu,"Verb, Godan verb, Transitive verb",to steal
,,ぬすむ,,
333,入学,nyuugaku,"Noun, Verb, Suru verb",entry to school or university; enrollment
,,にゅうがく,,
334,入院,nyuuin,"Noun, Verb, Suru verb",hospitalization
,,にゅういん,,
335,落ちる,ochiru,"Verb, Ichidan verb, Intransitive verb",to fall or drop
,,おちる,,
336,踊り,odori,Noun,a dance
,,おどり,,
337,驚く,odoroku,"Verb, Godan verb, Intransitive verb",to be surprised
,,おどろく,,
338,踊る,odoru,"Verb, Godan verb, Intransitive verb",to dance
,,おどる,,
339,お出でになる,oide ni naru,"Verb, Godan verb, Expression",(respectful) to be
,,おいでになる,,
340,お祝い,oiwai,"Noun, Suru verb",congratulation
,,おいわい,,
341,お嬢さん,ojousan,Noun,(another's) daughter
,,おじょうさん,,
342,可笑しい,okashii,"Adjective, い-adjective",strange or funny
,,おかしい,,
343,行う,okonau,"Verb, Godan verb, Transitive verb",to perform; to do; to carry out
,,おこなう,,
344,怒る,okoru,"Verb, Godan verb, Intransitive verb",to be angry
,,おこる,,
345,起こす,okosu,"Verb, Godan verb, Transitive verb",to wake
,,おこす,,
346,億,oku,Numeric,one hundred million
,,おく,,
347,屋上,okujou,Noun,rooftop​
,,おくじょう,,
348,遅れる,okureru,"Verb, Ichidan verb, Intransitive verb",to be late
,,おくれる,,
349,贈り物,okurimono,Noun,present; gift
,,おくりもの,,
350,送る,okuru,"Verb, Godan verb, Transitive verb",to send
,,おくる,,
351,お祭り,omatsuri,Noun,festival
,,おまつり,,
352,お見舞い,omimai,Noun,visiting ill or distressed people
,,おみまい,,
353,お土産,omiyage,Noun,souvenir
,,おみやげ,,
354,おもちゃ,omocha,Noun,toy
355,思い出す,omoidasu,"Verb, Godan verb, Transitive verb",to remember
,,おもいだす,,
356,表,omote,Noun,the front
,,おもて,,
357,オートバイ,ootobai,"Noun, Katakana",motorcycle
358,お礼,orei,Noun,thanks
,,おれい,,
359,折れる,oreru,"Verb, Ichidan verb, Intransitive verb",to break; to be broken
,,おれる,,
360,下りる,oriru,"Verb, Ichidan verb, Intransitive verb",to get off
,,おりる,,
361,折る,oru,"Verb, Godan verb, Transitive verb",to break or to fold
,,おる,,
362,押し入れ,oshiire,Noun,closet
,,おしいれ,,
363,仰る,ossharu,"Verb, Godan verb, Transitive verb",(respectful) to say
,,おっしゃる,,
364,お宅,otaku,Noun,your home
,,おたく,,
365,音,oto,Noun,sound; note
,,おと,,
366,落とす,otosu,"Verb, Godan verb, Transitive verb",to drop
,,おとす,,
367,お釣り,otsuri,Noun,change (for a purchase)​
,,おつり,,
368,夫,otto,Noun,husband
,,おっと,,
369,終わり,owari,Noun,the end
,,おわり,,
370,親,oya,Noun,parents
,,おや,,
371,泳ぎ方,oyogikata,Noun,way of swimming
,,およぎかた,,
372,パート,paato,"Noun, Katakana",part; part time
373,パソコン,pasokon,"Noun, Katakana",personal computer
374,ピアノ,piano,"Noun, Katakana",piano
375,プレゼント,purezento,"Noun, Katakana",present; gift
376,冷房,reibou,"Noun, Suru verb",air conditioning
,,れいぼう,,
377,レジ,reji,"Noun, Katakana",cashier​
378,歴史,rekishi,Noun,history
,,れきし,,
379,連絡,renraku,Suru verb,to contact; to get in touch​
,,れんらく,,
380,レポート,repooto,"Noun, Katakana",report
381,利用,riyou,"Noun, Verb, Suru verb",use; utilization; application
,,りよう,,
382,理由,riyuu,Noun,reason
,,りゆう,,
383,留守,rusu,"Noun, Suru verb",absence
,,るす,,
384,旅館,ryokan,Noun,traditional inn; Japanese-style lodging
,,りょかん,,
385,両方,ryouhou,Noun,both sides
,,りょうほう,,
386,寂しい,sabishii,"Adjective, い-adjective",lonely
,,さびしい,,
387,下がる,sagaru,"Verb, Godan verb, Intransitive verb",to get down
,,さがる,,
388,探す,sagasu,"Verb, Godan verb, Transitive verb",to look for
,,さがす,,
389,下げる,sageru,"Verb, Ichidan verb, Transitive verb",to lower
,,さげる,,
390,最後,saigo,Noun,end; last
,,さいご,,
391,最近,saikin,"Noun, Adverbial Noun",recently
,,さいきん,,
392,最初,saisho,"Noun, Adverbial Noun",beginning; first
,,さいしょ,,
393,坂,saka,Noun,slope; hill
,,さか,,
394,盛ん,sakan,"Adjective, な-adjective",popularity; prosperous
,,さかん,,
395,昨夜,sakuya,"Noun, Adverbial Noun",last night
,,さくや,,
396,サンダル,sandaru,"Noun, Katakana",sandal
397,サンドイッチ,sandoicchi,"Noun, Katakana",sandwich
398,産業,sangyou,Noun,industry
,,さんぎょう,,
399,サラダ,sarada,"Noun, Katakana",salad
400,再来月,saraigetsu,"Noun, Adverbial Noun",month after next
,,さらいげつ,,
401,再来週,saraishuu,"Noun, Adverbial Noun",week after next
,,さらいしゅう,,
402,差し上げる,sashiageru,"Verb, Ichidan verb, Transitive verb",to give
,,さしあげる,,
403,騒ぐ,sawagu,"Verb, Godan verb, Intransitive verb","to make noise,to be excited"
,,さわぐ,,
404,触る,sawaru,"Verb, Godan verb, Intransitive verb",to touch
,,さわる,,
405,生物,seibutsu,Noun,living thing
,,せいぶつ,,
406,政治,seiji,Noun,politics
,,せいじ,,
407,生活,seikatsu,"Noun, Suru verb",to live
,,せいかつ,,
408,生命,seimei,Noun,life
,,せいめい,,
409,生産,seisan,"Noun, Suru verb",production
,,せいさん,,
